,date,month,hour,2018_values,2019_values,2020_values,2021_values,2022_values,2023_values
111,05,01,15,2067.99,1838.38,1845.97,2083.19,2168.31,1969.72
112,05,01,16,2203.96,1999.87,1991.12,2260.56,2298.17,2060.55
113,05,01,17,2138.07,1989.21,1951.93,2208.55,2228.52,1996.94
114,05,01,18,1998.33,1851.75,1815.83,2017.29,2099.74,1866.04
115,05,01,19,1865.71,1736.0,1669.42,1864.51,1962.41,1780.93
116,05,01,20,1744.46,1653.6,1565.62,1762.93,1877.4,1681.84
117,05,01,21,1632.06,1566.79,1476.0,1639.85,1762.05,1564.18
118,05,01,22,1530.72,1500.75,1363.39,1530.93,1639.39,1459.23
119,05,01,23,1443.78,1409.49,1269.98,1419.48,1526.61,1406.19
120,06,01,00,1367.5,1344.08,1210.39,1322.49,1471.89,1362.24
121,06,01,01,1344.28,1304.89,1213.92,1292.85,1432.69,1351.12
122,06,01,02,1341.13,1296.15,1208.48,1288.84,1435.19,1343.82
123,06,01,03,1337.88,1302.97,1199.17,1313.02,1460.31,1328.01
124,06,01,04,1355.23,1334.19,1308.47,1425.31,1560.61,1402.41
125,06,01,05,1415.33,1383.4,1559.45,1700.98,1796.13,1585.57
126,06,01,06,1525.35,1477.97,1826.51,1931.0,2059.35,1802.97
127,06,01,07,1652.64,1584.04,1927.12,2022.33,2168.89,1934.31
128,06,01,08,1774.74,1701.89,1961.58,2055.88,2185.68,1949.69
129,06,01,09,1869.24,1775.68,1964.54,2083.34,2173.56,2003.67
130,06,01,10,1885.4,1785.73,1927.02,2096.16,2125.9,2010.88
131,06,01,11,1868.66,1740.51,1929.93,2092.48,2092.11,1999.11
132,06,01,12,1851.39,1740.56,1931.71,2077.89,2080.36,1939.33
133,06,01,13,1827.38,1750.27,1913.98,2040.67,2048.55,1864.7
134,06,01,14,1815.48,1776.55,1925.51,2031.18,2049.4,1845.91
135,06,01,15,1939.01,1899.29,1990.6,2118.76,2172.6,1901.71
136,06,01,16,2070.6,2055.66,2120.14,2252.35,2328.87,1981.88
137,06,01,17,2049.61,2016.8,2050.86,2219.01,2282.62,1917.11
138,06,01,18,1915.84,1869.05,1905.99,2030.49,2142.41,1780.48
139,06,01,19,1787.66,1730.36,1759.86,1887.1,1999.57,1647.94
140,06,01,20,1680.41,1623.7,1627.16,1759.15,1872.48,1550.73
141,06,01,21,1598.62,1500.92,1540.1,1635.57,1759.44,1501.43
142,06,01,22,1524.55,1383.56,1392.39,1508.39,1628.87,1421.06
143,06,01,23,1442.9,1294.06,1328.19,1435.46,1521.63,1384.13
144,07,01,00,1383.01,1238.07,1280.77,1379.81,1454.51,1355.74
145,07,01,01,1356.13,1217.17,1245.76,1380.02,1440.54,1286.51
146,07,01,02,1353.0,1220.39,1234.28,1365.88,1444.97,1271.5
147,07,01,03,1362.38,1249.42,1246.92,1382.49,1436.03,1260.9
148,07,01,04,1394.2,1352.88,1335.46,1465.65,1540.93,1253.59
149,07,01,05,1465.56,1619.8,1595.71,1667.04,1839.21,1295.78
150,07,01,06,1574.29,1886.44,1829.59,1913.0,2085.78,1390.81
151,07,01,07,1698.02,1941.31,1936.46,2012.32,2168.61,1488.32
152,07,01,08,1809.0,1957.88,1973.63,2008.85,2191.69,1578.53
153,07,01,09,1864.5,1922.53,1989.04,2021.37,2197.72,1658.95
154,07,01,10,1861.14,1881.53,1982.07,2030.39,2196.81,1696.7
155,07,01,11,1845.27,1970.97,1962.89,2029.71,2188.0,1706.55
156,07,01,12,1827.73,1980.49,1948.2,2006.04,2155.58,1698.82
