TotalLoad,year,month,date,hour
1501.680054,2022,01,12,04
1727.640015,2022,01,12,05
1959.069946,2022,01,12,06
2065.379883,2022,01,12,07
2079.120117,2022,01,12,08
2100.439941,2022,01,12,09
2094.0,2022,01,12,10
2089.469971,2022,01,12,11
2077.050049,2022,01,12,12
2039.719971,2022,01,12,13
2010.810059,2022,01,12,14
2075.459961,2022,01,12,15
2216.560059,2022,01,12,16
2140.959961,2022,01,12,17
1990.910034,2022,01,12,18
1850.48999,2022,01,12,19
1725.969971,2022,01,12,20
1597.130005,2022,01,12,21
1493.75,2022,01,12,22
1412.23999,2022,01,12,23
1349.839966,2022,01,13,00
1302.380005,2022,01,13,01
1294.030029,2022,01,13,02
1327.209961,2022,01,13,03
1409.290039,2022,01,13,04
1616.23999,2022,01,13,05
1859.439941,2022,01,13,06
1974.170044,2022,01,13,07
1976.609985,2022,01,13,08
2008.0,2022,01,13,09
1995.199951,2022,01,13,10
1980.810059,2022,01,13,11
1977.910034,2022,01,13,12
1951.469971,2022,01,13,13
1907.969971,2022,01,13,14
1997.069946,2022,01,13,15
2166.98999,2022,01,13,16
2147.679932,2022,01,13,17
2008.400024,2022,01,13,18
1874.349976,2022,01,13,19
1754.819946,2022,01,13,20
1642.719971,2022,01,13,21
1518.060059,2022,01,13,22
1424.660034,2022,01,13,23
1362.890015,2022,01,14,00
1329.560059,2022,01,14,01
1319.26001,2022,01,14,02
1338.619995,2022,01,14,03
1424.209961,2022,01,14,04
1644.920044,2022,01,14,05
1885.699951,2022,01,14,06
1987.310059,2022,01,14,07
1994.880005,2022,01,14,08
2015.790039,2022,01,14,09
1994.109985,2022,01,14,10
1981.439941,2022,01,14,11
1945.290039,2022,01,14,12
1914.040039,2022,01,14,13
1920.810059,2022,01,14,14
2024.030029,2022,01,14,15
2178.459961,2022,01,14,16
2114.459961,2022,01,14,17
1960.589966,2022,01,14,18
1834.170044,2022,01,14,19
1741.540039,2022,01,14,20
1664.589966,2022,01,14,21
1580.22998,2022,01,14,22
1506.02002,2022,01,14,23
1444.920044,2022,01,15,00
1411.400024,2022,01,15,01
1398.060059,2022,01,15,02
1400.369995,2022,01,15,03
1427.650024,2022,01,15,04
1499.869995,2022,01,15,05
1632.72998,2022,01,15,06
1737.030029,2022,01,15,07
1837.459961,2022,01,15,08
1880.790039,2022,01,15,09
1889.439941,2022,01,15,10
1884.349976,2022,01,15,11
