,Unnamed: 0,values,date,month,year,hour
197,,4552.0,9.0,1.0,2022.0,5.0
198,,10766.0,9.0,1.0,2022.0,6.0
199,,13572.0,9.0,1.0,2022.0,7.0
200,,9710.0,9.0,1.0,2022.0,8.0
201,,9028.0,9.0,1.0,2022.0,9.0
202,,5371.0,9.0,1.0,2022.0,10.0
203,,6392.0,9.0,1.0,2022.0,11.0
204,,4759.0,9.0,1.0,2022.0,12.0
205,,4944.0,9.0,1.0,2022.0,13.0
206,,52385.0,9.0,1.0,2022.0,14.0
207,,4614.0,9.0,1.0,2022.0,15.0
208,,8926.0,9.0,1.0,2022.0,16.0
209,,19115.0,9.0,1.0,2022.0,17.0
210,,15071.0,9.0,1.0,2022.0,18.0
211,,4896.0,9.0,1.0,2022.0,19.0
212,,4380.0,9.0,1.0,2022.0,20.0
213,,3457.0,9.0,1.0,2022.0,21.0
214,,5283.0,9.0,1.0,2022.0,22.0
215,,3256.0,9.0,1.0,2022.0,23.0
216,,4482.0,10.0,1.0,2022.0,0.0
217,,4253.0,10.0,1.0,2022.0,1.0
218,,4115.0,10.0,1.0,2022.0,2.0
219,,3097.0,10.0,1.0,2022.0,3.0
220,,4179.0,10.0,1.0,2022.0,4.0
221,,6701.0,10.0,1.0,2022.0,5.0
222,,11445.0,10.0,1.0,2022.0,6.0
223,,11911.0,10.0,1.0,2022.0,7.0
224,,10932.0,10.0,1.0,2022.0,8.0
225,,9614.0,10.0,1.0,2022.0,9.0
226,,4855.0,10.0,1.0,2022.0,10.0
227,,4431.0,10.0,1.0,2022.0,11.0
228,,5904.0,10.0,1.0,2022.0,12.0
229,,4982.0,10.0,1.0,2022.0,13.0
230,,5729.0,10.0,1.0,2022.0,14.0
231,,4823.0,10.0,1.0,2022.0,15.0
232,,11780.0,10.0,1.0,2022.0,16.0
233,,20670.0,10.0,1.0,2022.0,17.0
234,,15461.0,10.0,1.0,2022.0,18.0
235,,5586.0,10.0,1.0,2022.0,19.0
236,,3216.0,10.0,1.0,2022.0,20.0
237,,24588.999999999996,10.0,1.0,2022.0,21.0
238,,4001.0,10.0,1.0,2022.0,22.0
239,,4688.0,10.0,1.0,2022.0,23.0
240,,4433.0,11.0,1.0,2022.0,0.0
241,,3426.0,11.0,1.0,2022.0,1.0
242,,4244.0,11.0,1.0,2022.0,2.0
243,,3541.0,11.0,1.0,2022.0,3.0
244,,4562.0,11.0,1.0,2022.0,4.0
245,,3789.0,11.0,1.0,2022.0,5.0
246,,11497.0,11.0,1.0,2022.0,6.0
247,,110602.0,11.0,1.0,2022.0,7.0
248,,9857.0,11.0,1.0,2022.0,8.0
249,,8431.0,11.0,1.0,2022.0,9.0
250,,29631.0,11.0,1.0,2022.0,10.0
251,,7665.0,11.0,1.0,2022.0,11.0
252,,6533.0,11.0,1.0,2022.0,12.0
253,,4631.0,11.0,1.0,2022.0,13.0
254,,5054.0,11.0,1.0,2022.0,14.0
255,,5383.0,11.0,1.0,2022.0,15.0
256,,12862.0,11.0,1.0,2022.0,16.0
257,,18867.0,11.0,1.0,2022.0,17.0
258,,16116.0,11.0,1.0,2022.0,18.0
259,,5440.0,11.0,1.0,2022.0,19.0
260,,33311.0,11.0,1.0,2022.0,20.0
261,,4157.0,11.0,1.0,2022.0,21.0
262,,3222.0,11.0,1.0,2022.0,22.0
263,,22764.0,11.0,1.0,2022.0,23.0
264,,3119.0,12.0,1.0,2022.0,0.0
265,,7634.0,12.0,1.0,2022.0,1.0
266,,3631.0,12.0,1.0,2022.0,2.0
267,,4152.0,12.0,1.0,2022.0,3.0
268,,4314.0,12.0,1.0,2022.0,4.0
269,,4350.0,12.0,1.0,2022.0,5.0
270,,10700.0,12.0,1.0,2022.0,6.0
271,,11076.0,12.0,1.0,2022.0,7.0
272,,7239.0,12.0,1.0,2022.0,8.0
273,,9439.0,12.0,1.0,2022.0,9.0
274,,5218.0,12.0,1.0,2022.0,10.0
275,,6321.0,12.0,1.0,2022.0,11.0
276,,4849.0,12.0,1.0,2022.0,12.0
277,,6003.0,12.0,1.0,2022.0,13.0
278,,5976.0,12.0,1.0,2022.0,14.0
279,,5298.0,12.0,1.0,2022.0,15.0
280,,13321.0,12.0,1.0,2022.0,16.0
281,,17719.0,12.0,1.0,2022.0,17.0
282,,14623.0,12.0,1.0,2022.0,18.0
283,,6203.0,12.0,1.0,2022.0,19.0
284,,4787.0,12.0,1.0,2022.0,20.0
285,,3959.0,12.0,1.0,2022.0,21.0
286,,4736.0,12.0,1.0,2022.0,22.0
287,,3873.0,12.0,1.0,2022.0,23.0
288,,3512.0,13.0,1.0,2022.0,0.0
289,,4267.0,13.0,1.0,2022.0,1.0
290,,3693.0,13.0,1.0,2022.0,2.0
291,,3183.0,13.0,1.0,2022.0,3.0
292,,55690.0,13.0,1.0,2022.0,4.0
293,,4402.0,13.0,1.0,2022.0,5.0
294,,11189.0,13.0,1.0,2022.0,6.0
295,,12573.0,13.0,1.0,2022.0,7.0
296,,9556.0,13.0,1.0,2022.0,8.0
297,,8182.0,13.0,1.0,2022.0,9.0
298,,7486.0,13.0,1.0,2022.0,10.0
299,,8808.0,13.0,1.0,2022.0,11.0
300,,7736.0,13.0,1.0,2022.0,12.0
301,,5243.0,13.0,1.0,2022.0,13.0
302,,5204.0,13.0,1.0,2022.0,14.0
303,,6088.0,13.0,1.0,2022.0,15.0
304,,75734.0,13.0,1.0,2022.0,16.0
305,,17122.0,13.0,1.0,2022.0,17.0
306,,14173.0,13.0,1.0,2022.0,18.0
307,,7428.0,13.0,1.0,2022.0,19.0
308,,3795.0,13.0,1.0,2022.0,20.0
309,,4540.0,13.0,1.0,2022.0,21.0
310,,4306.0,13.0,1.0,2022.0,22.0
311,,4411.0,13.0,1.0,2022.0,23.0
312,,3465.0,14.0,1.0,2022.0,0.0
313,,5161.0,14.0,1.0,2022.0,1.0
314,,3085.0,14.0,1.0,2022.0,2.0
315,,5348.0,14.0,1.0,2022.0,3.0
316,,3811.0,14.0,1.0,2022.0,4.0
317,,3922.0,14.0,1.0,2022.0,5.0
318,,12413.0,14.0,1.0,2022.0,6.0
319,,8753.0,14.0,1.0,2022.0,7.0
320,,9617.0,14.0,1.0,2022.0,8.0
321,,31963.0,14.0,1.0,2022.0,9.0
322,,9768.0,14.0,1.0,2022.0,10.0
323,,12141.0,14.0,1.0,2022.0,11.0
324,,51248.0,14.0,1.0,2022.0,12.0
325,,32327.0,14.0,1.0,2022.0,13.0
326,,5689.0,14.0,1.0,2022.0,14.0
327,,7054.0,14.0,1.0,2022.0,15.0
328,,15537.0,14.0,1.0,2022.0,16.0
329,,15755.0,14.0,1.0,2022.0,17.0
330,,15563.0,14.0,1.0,2022.0,18.0
331,,7637.0,14.0,1.0,2022.0,19.0
332,,4074.0,14.0,1.0,2022.0,20.0
333,,3847.0,14.0,1.0,2022.0,21.0
334,,3816.0,14.0,1.0,2022.0,22.0
335,,4935.0,14.0,1.0,2022.0,23.0
336,,4118.0,15.0,1.0,2022.0,0.0
337,,3537.0,15.0,1.0,2022.0,1.0
338,,3721.0,15.0,1.0,2022.0,2.0
339,,4816.0,15.0,1.0,2022.0,3.0
340,,3572.0,15.0,1.0,2022.0,4.0
341,,3838.0,15.0,1.0,2022.0,5.0
342,,11155.0,15.0,1.0,2022.0,6.0
343,,10913.0,15.0,1.0,2022.0,7.0
344,,8113.0,15.0,1.0,2022.0,8.0
345,,8784.0,15.0,1.0,2022.0,9.0
346,,5195.0,15.0,1.0,2022.0,10.0
347,,51816.0,15.0,1.0,2022.0,11.0
348,,7027.0,15.0,1.0,2022.0,12.0
349,,4716.0,15.0,1.0,2022.0,13.0
350,,6892.0,15.0,1.0,2022.0,14.0
351,,6394.0,15.0,1.0,2022.0,15.0
352,,15672.0,15.0,1.0,2022.0,16.0
353,,20116.0,15.0,1.0,2022.0,17.0
354,,101470.0,15.0,1.0,2022.0,18.0
355,,5424.0,15.0,1.0,2022.0,19.0
356,,4748.0,15.0,1.0,2022.0,20.0
357,,3463.0,15.0,1.0,2022.0,21.0
358,,23674.0,15.0,1.0,2022.0,22.0
359,,4913.0,15.0,1.0,2022.0,23.0
360,,3374.0,16.0,1.0,2022.0,0.0
361,,4115.0,16.0,1.0,2022.0,1.0
362,,4842.0,16.0,1.0,2022.0,2.0
363,,4515.0,16.0,1.0,2022.0,3.0
364,,3906.0,16.0,1.0,2022.0,4.0
365,,4864.0,16.0,1.0,2022.0,5.0
366,,11282.0,16.0,1.0,2022.0,6.0
367,,13674.0,16.0,1.0,2022.0,7.0
368,,10726.0,16.0,1.0,2022.0,8.0
369,,8122.0,16.0,1.0,2022.0,9.0
370,,5441.0,16.0,1.0,2022.0,10.0
371,,6870.0,16.0,1.0,2022.0,11.0
372,,5879.0,16.0,1.0,2022.0,12.0
373,,4868.0,16.0,1.0,2022.0,13.0
374,,52860.0,16.0,1.0,2022.0,14.0
375,,4590.0,16.0,1.0,2022.0,15.0
376,,8782.0,16.0,1.0,2022.0,16.0
377,,16635.0,16.0,1.0,2022.0,17.0
378,,16177.0,16.0,1.0,2022.0,18.0
379,,4533.0,16.0,1.0,2022.0,19.0
380,,4593.0,16.0,1.0,2022.0,20.0
381,,3421.0,16.0,1.0,2022.0,21.0
382,,5264.0,16.0,1.0,2022.0,22.0
383,,3329.0,16.0,1.0,2022.0,23.0
384,,4107.0,17.0,1.0,2022.0,0.0
385,,4814.0,17.0,1.0,2022.0,1.0
386,,3430.0,17.0,1.0,2022.0,2.0
387,,4170.0,17.0,1.0,2022.0,3.0
388,,4637.0,17.0,1.0,2022.0,4.0
389,,7706.0,17.0,1.0,2022.0,5.0
390,,11004.0,17.0,1.0,2022.0,6.0
391,,11728.0,17.0,1.0,2022.0,7.0
392,,8988.0,17.0,1.0,2022.0,8.0
393,,8537.0,17.0,1.0,2022.0,9.0
394,,5885.0,17.0,1.0,2022.0,10.0
395,,4851.0,17.0,1.0,2022.0,11.0
396,,5844.0,17.0,1.0,2022.0,12.0
397,,5943.0,17.0,1.0,2022.0,13.0
398,,5046.0,17.0,1.0,2022.0,14.0
399,,5508.0,17.0,1.0,2022.0,15.0
400,,13063.0,17.0,1.0,2022.0,16.0
401,,21685.0,17.0,1.0,2022.0,17.0
402,,15213.0,17.0,1.0,2022.0,18.0
403,,4445.0,17.0,1.0,2022.0,19.0
404,,3956.0,17.0,1.0,2022.0,20.0
405,,24471.999999999996,17.0,1.0,2022.0,21.0
406,,3658.0,17.0,1.0,2022.0,22.0
407,,4895.0,17.0,1.0,2022.0,23.0
408,,3818.0,18.0,1.0,2022.0,0.0
409,,3549.0,18.0,1.0,2022.0,1.0
410,,3759.0,18.0,1.0,2022.0,2.0
411,,3345.0,18.0,1.0,2022.0,3.0
412,,4845.0,18.0,1.0,2022.0,4.0
413,,6853.0,18.0,1.0,2022.0,5.0
414,,10806.0,18.0,1.0,2022.0,6.0
415,,111324.0,18.0,1.0,2022.0,7.0
416,,9584.0,18.0,1.0,2022.0,8.0
417,,7616.0,18.0,1.0,2022.0,9.0
418,,29570.0,18.0,1.0,2022.0,10.0
419,,7559.0,18.0,1.0,2022.0,11.0
420,,6695.0,18.0,1.0,2022.0,12.0
421,,4639.0,18.0,1.0,2022.0,13.0
422,,5570.0,18.0,1.0,2022.0,14.0
423,,5533.0,18.0,1.0,2022.0,15.0
424,,13119.0,18.0,1.0,2022.0,16.0
425,,16031.0,18.0,1.0,2022.0,17.0
426,,14634.0,18.0,1.0,2022.0,18.0
427,,4419.0,18.0,1.0,2022.0,19.0
428,,34343.0,18.0,1.0,2022.0,20.0
429,,4277.0,18.0,1.0,2022.0,21.0
430,,3695.0,18.0,1.0,2022.0,22.0
431,,22634.0,18.0,1.0,2022.0,23.0
432,,4198.0,19.0,1.0,2022.0,0.0
433,,7532.0,19.0,1.0,2022.0,1.0
434,,4504.0,19.0,1.0,2022.0,2.0
435,,3155.0,19.0,1.0,2022.0,3.0
436,,5142.0,19.0,1.0,2022.0,4.0
437,,3847.0,19.0,1.0,2022.0,5.0
438,,10948.0,19.0,1.0,2022.0,6.0
439,,11045.0,19.0,1.0,2022.0,7.0
440,,7705.0,19.0,1.0,2022.0,8.0
441,,8869.0,19.0,1.0,2022.0,9.0
442,,5768.0,19.0,1.0,2022.0,10.0
443,,6289.0,19.0,1.0,2022.0,11.0
444,,5059.0,19.0,1.0,2022.0,12.0
445,,5254.0,19.0,1.0,2022.0,13.0
446,,5179.0,19.0,1.0,2022.0,14.0
447,,4699.0,19.0,1.0,2022.0,15.0
448,,13526.0,19.0,1.0,2022.0,16.0
449,,16946.0,19.0,1.0,2022.0,17.0
450,,14117.0,19.0,1.0,2022.0,18.0
451,,6550.0,19.0,1.0,2022.0,19.0
452,,4733.0,19.0,1.0,2022.0,20.0
453,,3600.0,19.0,1.0,2022.0,21.0
454,,5063.0,19.0,1.0,2022.0,22.0
455,,3424.0,19.0,1.0,2022.0,23.0
456,,4454.0,20.0,1.0,2022.0,0.0
457,,4262.0,20.0,1.0,2022.0,1.0
458,,3662.0,20.0,1.0,2022.0,2.0
459,,3237.0,20.0,1.0,2022.0,3.0
460,,55502.0,20.0,1.0,2022.0,4.0
461,,5515.0,20.0,1.0,2022.0,5.0
462,,10881.0,20.0,1.0,2022.0,6.0
463,,13025.0,20.0,1.0,2022.0,7.0
464,,9207.0,20.0,1.0,2022.0,8.0
465,,9313.0,20.0,1.0,2022.0,9.0
466,,6381.0,20.0,1.0,2022.0,10.0
467,,7556.0,20.0,1.0,2022.0,11.0
468,,6891.0,20.0,1.0,2022.0,12.0
469,,5679.0,20.0,1.0,2022.0,13.0
470,,4022.0,20.0,1.0,2022.0,14.0
471,,5696.0,20.0,1.0,2022.0,15.0
472,,74999.0,20.0,1.0,2022.0,16.0
473,,17368.0,20.0,1.0,2022.0,17.0
474,,14564.0,20.0,1.0,2022.0,18.0
475,,5484.0,20.0,1.0,2022.0,19.0
476,,4083.0,20.0,1.0,2022.0,20.0
477,,3139.0,20.0,1.0,2022.0,21.0
478,,4775.0,20.0,1.0,2022.0,22.0
479,,3353.0,20.0,1.0,2022.0,23.0
480,,3523.0,21.0,1.0,2022.0,0.0
481,,4420.0,21.0,1.0,2022.0,1.0
482,,3540.0,21.0,1.0,2022.0,2.0
483,,4422.0,21.0,1.0,2022.0,3.0
484,,3807.0,21.0,1.0,2022.0,4.0
485,,3600.0,21.0,1.0,2022.0,5.0
486,,12036.0,21.0,1.0,2022.0,6.0
487,,8718.0,21.0,1.0,2022.0,7.0
488,,9047.0,21.0,1.0,2022.0,8.0
489,,31977.0,21.0,1.0,2022.0,9.0
490,,10937.0,21.0,1.0,2022.0,10.0
491,,12218.0,21.0,1.0,2022.0,11.0
492,,50621.0,21.0,1.0,2022.0,12.0
493,,33764.0,21.0,1.0,2022.0,13.0
494,,5260.0,21.0,1.0,2022.0,14.0
495,,7547.0,21.0,1.0,2022.0,15.0
496,,14845.0,21.0,1.0,2022.0,16.0
